"Step","Grouped runs - collection/reward/extrinsic_episode_reward_max","Grouped runs - collection/reward/extrinsic_episode_reward_max__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_max__MAX"
"2000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"4000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"6000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"8000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"10000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"12000","0.00000451505184173584","0.000004157423973083496","0.000004872679710388184"
"14000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"16000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"18000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"20000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"22000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"24000","0.000004336237907409668","0.000004157423973083496","0.00000451505184173584"
"26000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"28000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"30000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"32000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"34000","0.000004347413778305054","0.000004157423973083496","0.000004537403583526611"
"36000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"38000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"40000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"42000","0.000004336237907409668","0.000004157423973083496","0.00000451505184173584"
"44000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"46000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"48000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"50000","0.000004693865776062012","0.00000451505184173584","0.000004872679710388184"
"52000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"54000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"56000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
"58000","0.000004872679710388184","0.000004872679710388184","0.000004872679710388184"
